,first_guess,target_word,first_guess_vowels,first_guess_consonants,target_vowels,target_consonants,first_guess_entropy,target_entropy,target_guessed,mid_guesses_avg_vows,mid_guesses_avg_cons,avg_perf_letters,avg_wrong_pos_letters,avg_wrong_letters,avg_remaining,avg_intermediate_guess_entropy,luck,bias,valid_success,num_guesses
0,wince,wince,2.0,3.0,2.0,3.0,69.1,69.1,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
1,wince,wince,2.0,3.0,2.0,3.0,69.1,69.1,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
2,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
3,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
4,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
5,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
6,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
7,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
8,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
9,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
10,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
11,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
12,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
13,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
14,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
15,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
16,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
17,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
18,thyme,thyme,2.0,3.0,2.0,3.0,67.86,67.86,True,2.0,3.0,0.0,0.0,0.0,,100.0,0.91,entropy,True,1.0
