,first_guess,target_word,player,num_guesses,expected_guesses,luck,first_guess_vowels,first_guess_consonants,target_vowels,target_consonants,first_guess_entropy,target_entropy,target_guessed,mid_guesses_avg_vows,mid_guesses_avg_cons,avg_perf_letters,avg_wrong_pos_letters,avg_wrong_letters,avg_remaining,avg_intermediate_guess_entropy,valid_success
0,arose,vague,diane,5.0,5.0,0.0,3.0,2.0,3.0,2.0,99.28,58.26,True,2.6,2.4,6.0,9.0,26.0,18.75,99.86,True
1,arose,vague,wizard,5.0,5.0,0.0,3.0,2.0,3.0,2.0,99.28,58.26,True,2.6,2.4,7.0,4.0,30.0,19.0,99.86,True
2,douce,apple,aidan,5.0,5.0,0.07,3.0,2.0,2.0,3.0,63.75,62.83,True,2.6,2.4,5.0,11.0,30.0,49.5,92.75,True
3,douce,apple,wizard,5.0,5.0,0.0,3.0,2.0,2.0,3.0,63.75,62.83,True,2.4,2.6,8.0,7.0,28.0,48.0,92.75,True
4,douce,ninth,aidan,4.0,5.0,0.27,3.0,2.0,1.0,4.0,63.7,35.38,True,2.0,3.0,1.0,2.0,27.0,123.0,90.92,True
5,douce,ninth,wizard,5.0,5.0,0.0,3.0,2.0,1.0,4.0,63.7,35.38,True,1.8,3.2,3.0,12.0,35.0,95.0,92.74,True
6,douce,flail,aidan,4.0,4.0,0.09,3.0,2.0,2.0,3.0,63.7,42.3,True,2.5,2.5,3.0,6.0,21.0,122.33,90.92,True
7,douce,flail,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,63.7,42.3,True,2.25,2.75,6.0,0.0,21.0,120.0,90.92,True
8,douce,stage,aidan,4.0,4.0,0.09,3.0,2.0,2.0,3.0,63.7,81.29,True,2.5,2.5,4.0,3.0,22.0,65.67,90.92,True
9,douce,stage,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,63.7,81.29,True,2.5,2.5,7.0,2.0,17.0,59.33,90.92,True
10,douce,heady,aidan,5.0,4.0,-0.16,3.0,2.0,3.0,2.0,63.7,66.43,True,3.0,2.0,9.0,11.0,22.0,16.0,92.74,True
11,douce,heady,wizard,4.0,4.0,0.0,3.0,2.0,3.0,2.0,63.7,66.43,True,2.5,2.5,0.0,15.0,15.0,21.67,90.92,True
12,douce,usage,aidan,5.0,3.0,-0.55,3.0,2.0,3.0,2.0,63.74,73.67,True,2.4,2.6,5.0,14.0,31.0,10.0,92.75,True
13,douce,usage,wizard,3.0,3.0,0.0,3.0,2.0,3.0,2.0,63.74,73.67,True,3.0,2.0,2.0,5.0,7.0,18.0,87.91,True
14,douce,sound,aidan,6.0,3.0,-0.88,3.0,2.0,2.0,3.0,63.74,50.14,True,2.17,2.83,18.0,5.0,20.0,6.4,93.96,True
15,douce,sound,wizard,3.0,3.0,0.0,3.0,2.0,2.0,3.0,63.74,50.14,True,2.33,2.67,6.0,2.0,5.0,8.5,87.91,True
16,douce,salsa,aidan,6.0,4.0,-0.41,3.0,2.0,2.0,3.0,63.67,35.65,True,1.83,3.17,10.0,7.0,47.0,74.2,93.95,True
17,douce,salsa,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,63.67,35.65,True,2.25,2.75,3.0,4.0,23.0,123.67,90.92,True
18,douce,magic,aidan,5.0,4.0,-0.16,3.0,2.0,2.0,3.0,63.67,46.9,True,2.4,2.6,7.0,9.0,29.0,21.75,92.73,True
19,douce,magic,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,63.67,46.9,True,2.25,2.75,4.0,7.0,18.0,27.0,90.92,True
20,douce,avail,aidan,5.0,5.0,0.07,3.0,2.0,3.0,2.0,63.67,40.08,True,2.6,2.4,6.0,10.0,31.0,92.5,92.73,True
21,douce,avail,wizard,5.0,5.0,0.0,3.0,2.0,3.0,2.0,63.67,40.08,True,2.4,2.6,9.0,1.0,31.0,90.75,92.73,True
22,douce,kiosk,aidan,6.0,4.0,-0.41,3.0,2.0,2.0,3.0,63.68,33.87,True,2.17,2.83,8.0,12.0,45.0,34.2,93.95,True
23,douce,kiosk,wizard,4.0,4.0,0.0,3.0,2.0,2.0,3.0,63.68,33.87,True,2.5,2.5,2.0,8.0,20.0,55.33,90.92,True
