player,target,first_guess,second_guess,third_guess,fourth_guess,fifth_guess,sixth_guess
diane,vague,arose,plate,cache,mauve,vague,none
aidan,apple,douce,lairy,slave,algae,apple,none
aidan,ninth,douce,lairy,gimps,ninth,none,none
aidan,flail,douce,lairy,snail,flail,none,none
aidan,stage,douce,lairy,phase,stage,none,none
aidan,heady,douce,lairy,ready,beady,heady,none
aidan,none,douce,dairy,dunes,debug,none,none
aidan,usage,douce,lairy,aunts,swamp,usage,none
aidan,sound,douce,pound,found,bound,mound,sound
aidan,salsa,douce,lairy,palms,salts,ghost,salsa
aidan,magic,douce,lairy,cabin,manic,magic,none
aidan,none,douce,lairy,cache,none,none,none
aidan,avail,douce,lairy,snail,flail,avail,none
aidan,kiosk,douce,lairy,lions,moist,frosh,kiosk
aidan,sweat,douce,lairy,wheat,sweat,none,none
aidan,ruddy,douce,lairy,ruddy,none,none,none
aidan,riper,douce,lairy,tries,miner,viper,wiper
aidan,vague,douce,lairy,mauve,vague,none,none
aidan,syrup,arose,unity,rubby,syrup,none,none
aidan,above,adore,above,none,none,none,none
aidan,moose,arose,those,close,unity,moose,none
aidan,polka,arose,unity,polar,polka,none,none
dad,syrup,audio,plume,usurp,syrup,none,none
dad,worse,audio,store,horse,worse,none,none
diane,worse,audio,stone,posse,worse,none,none
diane,polka,audio,polar,polka,none,none,none
dad,polka,audio,groan,poach,polka,none,none
dad,moose,audio,store,chose,loose,goose,moose
diane,moose,audio,store,close,moose,none,none
kai,squat,homes,start,squat,none,none,none
diane,above,audio,alone,above,none,none,none
diane,squat,audio,usual,squat,none,none,none
dad,squat,audio,taupe,squat,none,none,none
Dad,Trend,Audio,Nerdy,Trend,,,
Diane,Trend,Audio,Depth,Trend,,,
Kai,Trend,Later,Rents,Trend,,,
Kai,toxic,Later,throw,toxic,,,
dad,toxic,AUDIO,CHOIR,toxic,,,
diane,toxic,audio,movie,colic,robin,toxic,
